Tank,Salinity,Day,Treatment,Proportion Alive
N,17,13,High,1.00
N,17,14,High,1.00
N,17,15,High,1.00
N,17,16,High,1.00
N,17,17,High,1.00
N,17,18,High,1.00
N,17,19,High,1.00
N,17,20,High,1.00
N,17,21,High,1.00
N,17,22,High,1.00
N,17,23,High,1.00
N,17,24,High,1.00
N,17,25,High,1.00
N,17,26,High,1.00
N,17,27,High,1.00
N,17,28,High,1.00
O,14,1,High,1.00
O,14,2,High,1.00
O,14,3,High,1.00
O,14,4,High,1.00
O,14,5,High,1.00
O,14,6,High,1.00
O,14,7,High,1.00
O,14,8,High,1.00
O,14,9,High,1.00
O,14,10,High,1.00
O,14,11,High,1.00
O,14,12,High,1.00
O,14,13,High,1.00
O,14,14,High,1.00
O,14,15,High,1.00
O,14,16,High,1.00
O,14,17,High,1.00
O,14,18,High,1.00
O,14,19,High,1.00
O,14,20,High,0.83
O,14,21,High,0.83
O,14,22,High,0.83
O,14,23,High,0.83
O,14,24,High,0.83
O,14,25,High,0.83
O,14,26,High,0.83
O,14,27,High,0.83
O,14,28,High,0.83
P,5,1,High,1.00
P,5,2,High,1.00
P,5,3,High,1.00
P,5,4,High,0.50
P,5,5,High,0.33
P,5,6,High,0.00
P,5,7,High,0.00
P,5,8,High,0.00
P,5,9,High,0.00
P,5,10,High,0.00
P,5,11,High,0.00
P,5,12,High,0.00
P,5,13,High,0.00
P,5,14,High,0.00
P,5,15,High,0.00
P,5,16,High,0.00
P,5,17,High,0.00
P,5,18,High,0.00
P,5,19,High,0.00
P,5,20,High,0.00
P,5,21,High,0.00
P,5,22,High,0.00
P,5,23,High,0.00
P,5,24,High,0.00
P,5,25,High,0.00
P,5,26,High,0.00
P,5,27,High,0.00
P,5,28,High,0.00
Q,8,1,High,1.00
Q,8,2,High,1.00
Q,8,3,High,1.00
Q,8,4,High,0.50
Q,8,5,High,0.33
Q,8,6,High,0.17
Q,8,7,High,0.00
Q,8,8,High,0.00
Q,8,9,High,0.00
Q,8,10,High,0.00
Q,8,11,High,0.00
Q,8,12,High,0.00
Q,8,13,High,0.00
Q,8,14,High,0.00
Q,8,15,High,0.00
Q,8,16,High,0.00
Q,8,17,High,0.00
Q,8,18,High,0.00
Q,8,19,High,0.00
Q,8,20,High,0.00
Q,8,21,High,0.00
Q,8,22,High,0.00
Q,8,23,High,0.00
Q,8,24,High,0.00
Q,8,25,High,0.00
Q,8,26,High,0.00
Q,8,27,High,0.00
Q,8,28,High,0.00
R,17,1,High,1.00
R,17,2,High,1.00
R,17,3,High,1.00
R,17,4,High,1.00
R,17,5,High,1.00
R,17,6,High,1.00
R,17,7,High,1.00
R,17,8,High,1.00
R,17,9,High,1.00
R,17,10,High,1.00
R,17,11,High,1.00
R,17,12,High,1.00
R,17,13,High,1.00
R,17,14,High,1.00
R,17,15,High,1.00
R,17,16,High,1.00
R,17,17,High,1.00
R,17,18,High,1.00
R,17,19,High,1.00
R,17,20,High,1.00
R,17,21,High,1.00
R,17,22,High,1.00
R,17,23,High,1.00
R,17,24,High,1.00
R,17,25,High,1.00
R,17,26,High,1.00
R,17,27,High,1.00
R,17,28,High,1.00
A,11,1,Low,1.00
A,11,2,Low,1.00
A,11,3,Low,1.00
A,11,4,Low,1.00
A,11,5,Low,1.00
A,11,6,Low,0.83
A,11,7,Low,0.83
A,11,8,Low,0.83
A,11,9,Low,0.83
A,11,10,Low,0.83
A,11,11,Low,0.83
A,11,12,Low,0.83
A,11,13,Low,0.83
A,11,14,Low,0.83
A,11,15,Low,0.83
A,11,16,Low,0.83
A,11,17,Low,0.83
A,11,18,Low,0.83
A,11,19,Low,0.83
A,11,20,Low,0.83
A,11,21,Low,0.83
A,11,22,Low,0.83
A,11,23,Low,0.83
A,11,24,Low,0.83
A,11,25,Low,0.83
A,11,26,Low,0.83
A,11,27,Low,0.83
A,11,28,Low,0.83
B,5,1,Low,1.00
B,5,2,Low,1.00
B,5,3,Low,1.00
B,5,4,Low,0.33
B,5,5,Low,0.33
B,5,6,Low,0.00
B,5,7,Low,0.00
B,5,8,Low,0.00
B,5,9,Low,0.00
B,5,10,Low,0.00
B,5,11,Low,0.00
B,5,12,Low,0.00
B,5,13,Low,0.00
B,5,14,Low,0.00
B,5,15,Low,0.00
B,5,16,Low,0.00
B,5,17,Low,0.00
B,5,18,Low,0.00
B,5,19,Low,0.00
B,5,20,Low,0.00
B,5,21,Low,0.00
B,5,22,Low,0.00
B,5,23,Low,0.00
B,5,24,Low,0.00
B,5,25,Low,0.00
B,5,26,Low,0.00
B,5,27,Low,0.00
B,5,28,Low,0.00
C,20,1,Low,1.00
C,20,2,Low,1.00
C,20,3,Low,1.00
C,20,4,Low,1.00
C,20,5,Low,1.00
C,20,6,Low,1.00
C,20,7,Low,1.00
C,20,8,Low,1.00
C,20,9,Low,1.00
C,20,10,Low,1.00
C,20,11,Low,1.00
C,20,12,Low,1.00
C,20,13,Low,1.00
C,20,14,Low,1.00
C,20,15,Low,1.00
C,20,16,Low,1.00
C,20,17,Low,1.00
C,20,18,Low,1.00
C,20,19,Low,1.00
C,20,20,Low,1.00
C,20,21,Low,1.00
C,20,22,Low,1.00
C,20,23,Low,1.00
C,20,24,Low,1.00
C,20,25,Low,1.00
C,20,26,Low,1.00
C,20,27,Low,1.00
